'
timestamp in s': 0.0, 0.0, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 0, 0, 'yaw in degrees': -2.5, -2.5, 'position_x in m': 981, 981, 'position_y in m': 303, 303, 'position_z in m': 2664, 2664, 'speed in km/h': 0, 0, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 0.983, 0.052, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 2, 0, 'yaw in degrees': -2.5, -2.5, 'position_x in m': 981, 981, 'position_y in m': 303, 303, 'position_z in m': 2664, 2664, 'speed in km/h': 1, 0, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 1.99, 0.828, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 7, 13, 'yaw in degrees': -2.5, -2.5, 'position_x in m': 979, 979, 'position_y in m': 303, 303, 'position_z in m': 2661, 2661, 'speed in km/h': 23, 32, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 2.981, 1.408, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 5, 16, 'yaw in degrees': -2.49, -2.5, 'position_x in m': 974, 974, 'position_y in m': 302, 302, 'position_z in m': 2654, 2655, 'speed in km/h': 38, 63, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 3.992, 2.038, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 5, 16, 'yaw in degrees': -2.48, -2.49, 'position_x in m': 966, 966, 'position_y in m': 301, 302, 'position_z in m': 2644, 2644, 'speed in km/h': 58, 96, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 4.994, 2.664, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 3, 10, 'yaw in degrees': -2.48, -2.49, 'position_x in m': 954, 954, 'position_y in m': 300, 300, 'position_z in m': 2628, 2629, 'speed in km/h': 77, 129, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 6.012, 3.289, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 2, 12, 'yaw in degrees': -2.48, -2.48, 'position_x in m': 939, 939, 'position_y in m': 299, 299, 'position_z in m': 2610, 2609, 'speed in km/h': 90, 158, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 7.045, 3.832, 'acceleration_x in m/s²': 0, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 1, 5, 'yaw in degrees': -2.48, -2.49, 'position_x in m': 923, 923, 'position_y in m': 297, 297, 'position_z in m': 2588, 2589, 'speed in km/h': 97, 180, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 8.052, 4.368, 'acceleration_x in m/s²': 0, 6, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': 0, 9, 'yaw in degrees': -2.48, -2.44, 'position_x in m': 906, 907, 'position_y in m': 296, 296, 'position_z in m': 2566, 2567, 'speed in km/h': 102, 193, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 9.128, 4.944, 'acceleration_x in m/s²': 2, 4, 'acceleration_y in m/s²': 0, -2, 'acceleration_z in m/s²': 0, 9, 'yaw in degrees': -2.43, -2.4, 'position_x in m': 886, 885, 'position_y in m': 294, 294, 'position_z in m': 2542, 2542, 'speed in km/h': 104, 213, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 10.185, 5.418, 'acceleration_x in m/s²': 3, 7, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 0, 2, 'yaw in degrees': -2.26, -2.27, 'position_x in m': 865, 865, 'position_y in m': 292, 292, 'position_z in m': 2520, 2522, 'speed in km/h': 106, 225, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 11.23, 5.898, 'acceleration_x in m/s²': 4, 16, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 0, 7, 'yaw in degrees': -2.13, -2.17, 'position_x in m': 840, 842, 'position_y in m': 290, 290, 'position_z in m': 2502, 2502, 'speed in km/h': 107, 234, 'lap_number': 0, 0, 'segment': 0, '
