name,id,racetrack,lap,help,experience,race_number,duration,three_race_duration
AmL ID5,1,1,1,1,1,1,60.0,1320.55
AmL ID5,1,1,2,1,1,1,60.0,1320.55
AmL ID5,1,1,3,1,1,1,74.42,1320.55
AmL ID5,1,1,4,1,1,1,56.47,1320.55
AmL ID5,1,1,5,1,1,1,62.13,1320.55
AmL ID5,1,2,1,2,1,2,131.52,1320.55
AmL ID5,1,2,2,2,1,2,92.23,1320.55
AmL ID5,1,2,3,2,1,2,102.97,1320.55
AmL ID5,1,2,4,2,1,2,80.48,1320.55
AmL ID5,1,2,5,2,1,2,103.0,1320.55
AmL ID5,1,3,1,3,1,3,100.24,1320.55
AmL ID5,1,3,2,3,1,3,123.33,1320.55
AmL ID5,1,3,3,3,1,3,96.22,1320.55
AmL ID5,1,3,4,3,1,3,90.83,1320.55
AmL ID5,1,3,5,3,1,3,86.71,1320.55
ML ID7,2,2,1,2,1,1,104.47,1248.2
ML ID7,2,2,2,2,1,1,84.65,1248.2
ML ID7,2,2,3,2,1,1,80.35,1248.2
ML ID7,2,2,4,2,1,1,82.16,1248.2
ML ID7,2,2,5,2,1,1,112.42,1248.2
ML ID7,2,3,1,3,1,2,95.34,1248.2
ML ID7,2,3,2,3,1,2,112.21,1248.2
ML ID7,2,3,3,3,1,2,86.4,1248.2
ML ID7,2,3,4,3,1,2,97.75,1248.2
ML ID7,2,3,5,3,1,2,84.55,1248.2
ML ID7,2,1,1,1,1,3,62.06,1248.2
ML ID7,2,1,2,1,1,3,62.63,1248.2
ML ID7,2,1,3,1,1,3,63.09,1248.2
ML ID7,2,1,4,1,1,3,63.75,1248.2
ML ID7,2,1,5,1,1,3,56.37,1248.2
EL ID8,3,3,1,3,1,1,124.36,1233.7
EL ID8,3,3,2,3,1,1,97.53,1233.7
EL ID8,3,3,3,3,1,1,109.34,1233.7
EL ID8,3,3,4,3,1,1,93.25,1233.7
EL ID8,3,3,5,3,1,1,69.69,1233.7
EL ID8,3,1,1,1,1,2,72.12,1233.7
EL ID8,3,1,2,1,1,2,63.04,1233.7
