name,id,racetrack,help,experience,race_number,total_duration,three_race_duration
AmL ID5,1.0,1.0,1.0,1.0,1.0,313.02000000000004,1320.55
AmL ID5,1.0,2.0,2.0,1.0,2.0,510.20000000000005,1320.55
AmL ID5,1.0,3.0,3.0,1.0,3.0,497.3299999999999,1320.55
ML ID7,2.0,2.0,2.0,1.0,1.0,464.05,1248.2
ML ID7,2.0,3.0,3.0,1.0,2.0,476.25000000000006,1248.2
ML ID7,2.0,1.0,1.0,1.0,3.0,307.9,1248.2
EL ID8,3.0,3.0,3.0,1.0,1.0,494.17,1233.7
EL ID8,3.0,1.0,1.0,1.0,2.0,296.82,1233.7
EL ID8,3.0,2.0,2.0,1.0,3.0,442.71,1233.7
MK ID11,4.0,2.0,1.0,1.0,1.0,406.73,1050.56
MK ID11,4.0,3.0,2.0,1.0,2.0,359.2,1050.56
MK ID11,4.0,1.0,3.0,1.0,3.0,284.63,1050.56
SS ID13,5.0,3.0,2.0,1.0,1.0,487.11,1211.8899999999999
SS ID13,5.0,1.0,3.0,1.0,2.0,332.2,1211.8899999999999
SS ID13,5.0,2.0,1.0,1.0,3.0,392.5799999999999,1211.8899999999999
LM ID21,6.0,1.0,3.0,1.0,1.0,296.35,1139.02
LM ID21,6.0,2.0,1.0,1.0,2.0,421.79,1139.02
LM ID21,6.0,3.0,2.0,1.0,3.0,420.88,1139.02
VG ID23,7.0,3.0,1.0,1.0,1.0,589.68,1534.25
VG ID23,7.0,1.0,2.0,1.0,2.0,419.93999999999994,1534.25
VG ID23,7.0,2.0,3.0,1.0,3.0,524.63,1534.25
LW ID1,8.0,1.0,2.0,2.0,1.0,269.48,996.3
LW ID1,8.0,2.0,3.0,2.0,2.0,405.82,996.3
LW ID1,8.0,3.0,1.0,2.0,3.0,321.0,996.3
JS ID2,9.0,2.0,3.0,2.0,1.0,407.12,982.48
JS ID2,9.0,3.0,1.0,2.0,2.0,322.58,982.48
JS ID2,9.0,1.0,2.0,2.0,3.0,252.78,982.48
MH ID13,10.0,1.0,1.0,2.0,1.0,402.39,1329.34
MH ID13,10.0,2.0,2.0,2.0,2.0,483.79,1329.34
MH ID13,10.0,3.0,3.0,2.0,3.0,443.15999999999997,1329.34
NS ID4,11.0,2.0,2.0,2.0,1.0,429.91999999999996,1105.42
NS ID4,11.0,3.0,3.0,2.0,2.0,369.78,1105.42
NS ID4,11.0,1.0,1.0,2.0,3.0,305.72,1105.42
VK ID14,12.0,3.0,3.0,2.0,1.0,337.46000000000004,955.26
VK ID14,12.0,1.0,1.0,2.0,2.0,253.55,955.26
VK ID14,12.0,2.0,2.0,2.0,3.0,364.25,955.26
AuL ID10,13.0,2.0,1.0,2.0,1.0,389.03000000000003,1081.16
AuL ID10,13.0,3.0,2.0,2.0,2.0,403.16999999999996,1081.16
AuL ID10,13.0,1.0,3.0,2.0,3.0,288.96000000000004,1081.16
BS ID12,14.0,3.0,2.0,2.0,1.0,358.28999999999996,969.93
BS ID12,14.0,1.0,3.0,2.0,2.0,258.39,969.93
BS ID12,14.0,2.0,1.0,2.0,3.0,353.25,969.93
NB ID3,15.0,1.0,3.0,3.0,1.0,246.27,885.76
NB ID3,15.0,2.0,1.0,3.0,2.0,316.17,885.76
NB ID3,15.0,3.0,2.0,3.0,3.0,323.32,885.76
AS ID6,16.0,3.0,1.0,3.0,1.0,308.42999999999995,826.1299999999999
AS ID6,16.0,1.0,2.0,3.0,2.0,223.85999999999999,826.1299999999999
AS ID6,16.0,2.0,3.0,3.0,3.0,293.84,826.1299999999999
IA ID16,17.0,1.0,2.0,3.0,1.0,227.06,802.13
IA ID16,17.0,2.0,3.0,3.0,2.0,290.58,802.13
IA ID16,17.0,3.0,1.0,3.0,3.0,284.49,802.13
MaL ID19,18.0,2.0,3.0,3.0,1.0,343.65,923.55
MaL ID19,18.0,3.0,1.0,3.0,2.0,338.34000000000003,923.55
MaL ID19,18.0,1.0,2.0,3.0,3.0,241.56,923.55
NP ID20,19.0,1.0,1.0,3.0,1.0,274.04,987.1200000000001
NP ID20,19.0,2.0,2.0,3.0,2.0,372.49,987.1200000000001
NP ID20,19.0,3.0,3.0,3.0,3.0,340.59000000000003,987.1200000000001
FW ID22,20.0,2.0,2.0,3.0,1.0,298.13,811.64
FW ID22,20.0,3.0,3.0,3.0,2.0,295.04,811.64
FW ID22,20.0,1.0,1.0,3.0,3.0,218.47,811.64
ES,21.0,2.0,3.0,3.0,1.0,308.28,804.06
ES,21.0,3.0,1.0,3.0,2.0,283.51000000000005,804.06
ES,21.0,1.0,2.0,3.0,3.0,212.26999999999998,804.06
