Name.2,ID.2,Strecke.1,Runde,Hilfe.1,Erfahrung.2,Unnamed: 19,Dauer
AmL ID5,1,1,1,1,1,,60.0
AmL ID5,1,1,2,1,1,,60.0
AmL ID5,1,1,3,1,1,,74.42
AmL ID5,1,1,4,1,1,,56.47
AmL ID5,1,1,5,1,1,,62.13
AmL ID5,1,2,1,2,1,,131.52
AmL ID5,1,2,2,2,1,,92.23
AmL ID5,1,2,3,2,1,,102.97
AmL ID5,1,2,4,2,1,,80.48
AmL ID5,1,2,5,2,1,,103.0
AmL ID5,1,3,1,3,1,,100.24
AmL ID5,1,3,2,3,1,,123.33
AmL ID5,1,3,3,3,1,,96.22
AmL ID5,1,3,4,3,1,,90.83
AmL ID5,1,3,5,3,1,,86.71
ML ID7,2,2,1,2,1,,104.47
ML ID7,2,2,2,2,1,,84.65
ML ID7,2,2,3,2,1,,80.35
ML ID7,2,2,4,2,1,,82.16
ML ID7,2,2,5,2,1,,112.42
ML ID7,2,3,1,3,1,,95.34
ML ID7,2,3,2,3,1,,112.21
ML ID7,2,3,3,3,1,,86.4
ML ID7,2,3,4,3,1,,97.75
ML ID7,2,3,5,3,1,,84.55
ML ID7,2,1,1,1,1,,62.06
ML ID7,2,1,2,1,1,,62.63
ML ID7,2,1,3,1,1,,63.09
ML ID7,2,1,4,1,1,,63.75
ML ID7,2,1,5,1,1,,56.37
EL ID8,3,3,1,3,1,,124.36
EL ID8,3,3,2,3,1,,97.53
EL ID8,3,3,3,3,1,,109.34
EL ID8,3,3,4,3,1,,93.25
EL ID8,3,3,5,3,1,,69.69
EL ID8,3,1,1,1,1,,72.12
EL ID8,3,1,2,1,1,,63.04
EL ID8,3,1,3,1,1,,51.84
EL ID8,3,1,4,1,1,,54.28
EL ID8,3,1,5,1,1,,55.54
EL ID8,3,2,1,2,1,,106.94
EL ID8,3,2,2,2,1,,87.33
EL ID8,3,2,3,2,1,,87.44
EL ID8,3,2,4,2,1,,80.5
EL ID8,3,2,5,2,1,,80.5
