Name.1,ID.1,Strecke,Hilfe,Erfahrung.1,Unnamed: 9,Gesamtdauer
AmL ID5,1.0,1.0,1.0,1.0,,313.02000000000004
AmL ID5,1.0,2.0,2.0,1.0,,510.20000000000005
AmL ID5,1.0,3.0,3.0,1.0,,497.3299999999999
ML ID7,2.0,2.0,2.0,1.0,,464.05
ML ID7,2.0,3.0,3.0,1.0,,476.25000000000006
ML ID7,2.0,1.0,1.0,1.0,,307.9
EL ID8,3.0,3.0,3.0,1.0,,494.17
EL ID8,3.0,1.0,1.0,1.0,,296.82
EL ID8,3.0,2.0,2.0,1.0,,442.71
AuL ID9,4.0,2.0,1.0,1.0,,389.03000000000003
AuL ID9,4.0,3.0,2.0,1.0,,403.16999999999996
AuL ID9,4.0,1.0,3.0,1.0,,288.96000000000004
E,5.0,3.0,2.0,1.0,,0.0
E,5.0,1.0,3.0,1.0,,0.0
E,5.0,2.0,1.0,1.0,,0.0
F,6.0,1.0,3.0,1.0,,0.0
F,6.0,2.0,1.0,1.0,,0.0
F,6.0,3.0,2.0,1.0,,0.0
G,7.0,3.0,1.0,1.0,,0.0
G,7.0,1.0,2.0,1.0,,0.0
G,7.0,2.0,3.0,1.0,,0.0
LW ID1,8.0,1.0,2.0,2.0,,269.48
LW ID1,8.0,2.0,3.0,2.0,,405.82
LW ID1,8.0,3.0,1.0,2.0,,321.0
JS ID2,9.0,2.0,3.0,2.0,,407.12
JS ID2,9.0,3.0,1.0,2.0,,322.58
JS ID2,9.0,1.0,2.0,2.0,,252.78
MH,10.0,1.0,1.0,2.0,,0.0
MH,10.0,2.0,2.0,2.0,,0.0
MH,10.0,3.0,3.0,2.0,,0.0
NS ID4,11.0,2.0,2.0,2.0,,429.91999999999996
NS ID4,11.0,3.0,3.0,2.0,,369.78
NS ID4,11.0,1.0,1.0,2.0,,305.72
L,12.0,3.0,3.0,2.0,,0.0
L,12.0,1.0,1.0,2.0,,0.0
L,12.0,2.0,2.0,2.0,,0.0
M,13.0,2.0,1.0,2.0,,0.0
M,13.0,3.0,2.0,2.0,,0.0
M,13.0,1.0,3.0,2.0,,0.0
O,14.0,3.0,2.0,2.0,,0.0
O,14.0,1.0,3.0,2.0,,0.0
O,14.0,2.0,1.0,2.0,,0.0
NB ID3,15.0,1.0,3.0,3.0,,246.27
NB ID3,15.0,2.0,1.0,3.0,,316.17
NB ID3,15.0,3.0,2.0,3.0,,323.32
AS ID6,16.0,3.0,1.0,3.0,,308.42999999999995
AS ID6,16.0,1.0,2.0,3.0,,223.85999999999999
AS ID6,16.0,2.0,3.0,3.0,,0.0
FW,17.0,1.0,2.0,3.0,,0.0
FW,17.0,2.0,3.0,3.0,,0.0
FW,17.0,3.0,1.0,3.0,,0.0
IA,18.0,2.0,3.0,3.0,,0.0
IA,18.0,3.0,1.0,3.0,,0.0
IA,18.0,1.0,2.0,3.0,,0.0
U,19.0,1.0,1.0,3.0,,0.0
U,19.0,2.0,2.0,3.0,,0.0
U,19.0,3.0,3.0,3.0,,0.0
V,20.0,2.0,2.0,3.0,,0.0
V,20.0,3.0,3.0,3.0,,0.0
V,20.0,1.0,1.0,3.0,,0.0
W,21.0,2.0,3.0,3.0,,0.0
W,21.0,3.0,1.0,3.0,,0.0
W,21.0,1.0,2.0,3.0,,0.0
